time_us,Omega_in_abs2,Omega_out_dopp_abs2,Omega_out_nodopp_abs2
1.7704426106526632,2.7512582422249787e+24,,0.003149585755670726
1.7719429857464366,2.7821030394513597e+24,,0.0054906890085907765
1.77344336084021,2.8131839009259865e+24,,0.00894935003429295
1.7749437359339837,2.8445010255253093e+24,,0.012554438678947828
1.7764441110277571,2.876054586541177e+24,,0.014610983593507322
1.7779444861215306,2.9078447313688603e+24,,0.0205062448589546
1.779444861215304,2.939871581196641e+24,,0.02357912457703266
1.7809452363090774,2.972135230697139e+24,,0.026605803352741115
1.7824456114028508,3.004635747720412e+24,,0.028546313623734394
1.7839459864966243,3.037373172988956e+24,,0.030341732331615835
1.7854463615903977,3.070347519794681e+24,,0.03415020926562675
1.7869467366841711,3.103558773697943e+24,,0.03634362424954638
1.7884471117779448,3.13700689222878e+24,,0.040685555367138006
1.7899474868717182,3.170691804590335e+24,,0.03857569372919525
1.7914478619654917,3.2046134113647333e+24,,0.044676422594269315
1.7929482370592649,3.238771584221312e+24,,0.044226026911787786
1.7944486121530383,3.2731661656274446e+24,,0.04083983716501499
1.7959489872468117,3.307796968561993e+24,,0.040231013312140074
1.7974493623405852,3.3426637762314825e+24,,0.0377677307580519
1.7989497374343586,3.377766341789123e+24,,0.03634519178487144
1.800450112528132,3.4131043880567364e+24,,0.03379822292491179
1.8019504876219057,3.448677607249724e+24,,0.032370797500275064
1.8034508627156791,3.484485660705127e+24,,0.029379873926341466
1.8049512378094525,3.5205281786129373e+24,,0.027050442565783393
1.806451612903226,3.5568047597506856e+24,,0.02483104524714917
1.8079519879969994,3.593314971221454e+24,,0.019584511069148852
1.8094523630907728,3.630058348195393e+24,,0.016244861831840925
1.8109527381845463,3.667034393654833e+24,,0.012332246923728904
1.8124531132783197,3.7042425781430965e+24,,0.009516578986078508
1.8139534883720931,3.7416823395171187e+24,,0.008423691673512907
1.8154538634658668,3.779353082703946e+24,,0.006459155608099437
1.8169542385596402,3.817254179461215e+24,,0.003648837308499926
1.8184546136534134,3.8553849681417455e+24,,0.002369326221340128
1.8199549887471869,3.893744753462305e+24,,0.0016112530339345166
1.8214553638409603,3.9323328062766276e+24,,0.00024892736670958384
1.8229557389347337,3.9711483633528414e+24,,3.907435235774142e-09
1.8244561140285072,4.010190627155351e+24,,0.0001804171168763951
1.8259564891222806,4.049458765631289e+24,,0.0006055665563124213
1.827456864216054,4.0889519120016175e+24,,0.001724739457526678
1.8289572393098277,4.1286691645570236e+24,,0.0024310899691310046
1.830457614403601,4.1686095864585924e+24,,0.004859389270515228
1.8319579894973745,4.2087722055435254e+24,,0.005303843765722989
1.833458364591148,4.249156014135813e+24,,0.006794145917192218
1.8349587396849214,4.2897599688620797e+24,,0.009471053105310698
1.8364591147786948,4.330582990472643e+24,,0.012712409919725949
1.8379594898724683,4.3716239636678906e+24,,0.015109931330343808
1.8394598649662417,4.4128817369300834e+24,,0.01590084536065873
1.8409602400600151,4.4543551223606206e+24,,0.01758198434320358
1.8424606151537888,4.496042895522945e+24,,0.017782582051179774
1.843960990247562,4.5379437952910627e+24,,0.022211703360422365
1.8454613653413354,4.5800565237039144e+24,,0.02083567642948791
1.8469617404351089,4.622379745825531e+24,,0.0220001387369165
1.8484621155288823,4.664912089611173e+24,,0.023349296312951726
1.8499624906226557,4.707652145779498e+24,,0.024589006431476716
1.8514628657164292,4.7505984676908193e+24,,0.02553968521561138
1.8529632408102026,4.793749571231608e+24,,0.02445371027133463
1.854463615903976,4.837103934705245e+24,,0.024014630422474526
1.8559639909977497,4.880659998729165e+24,,0.022145545564056297
1.857464366091523,4.924416166138429e+24,,0.02198461135708365
1.8589647411852965,4.968370801895865e+24,,0.018199407525482436
1.86046511627907,5.012522233008782e+24,,0.01678514346621374
1.8619654913728434,5.056868748452398e+24,,0.016380261854463462
1.8634658664666168,5.101408599100031e+24,,0.014903283393344518
1.8649662415603903,5.146139997660133e+24,,0.013158777023364343
1.8664666166541637,5.191061118620246e+24,,0.012073583969269573
1.8679669917479371,5.236170098197946e+24,,0.009928653746516766
1.8694673668417106,5.281465034298887e+24,,0.006816080335395108
1.870967741935484,5.326943986481933e+24,,0.005459302807942713
1.8724681170292574,5.372604975931521e+24,,0.004886645412301757
1.8739684921230308,5.418445985437337e+24,,0.002860702268014244
1.8754688672168043,5.46446495938128e+24,,0.0016922022518741696
1.8769692423105777,5.510659803731882e+24,,0.001206931718570283
1.8784696174043511,5.557028386046172e+24,,0.0006815282307658268
1.8799699924981246,5.603568535479105e+24,,0.00021842349506561527
1.881470367591898,5.650278042800577e+24,,6.741742446734387e-08
1.8829707426856714,5.69715466042011e+24,,0.0002214456985576071
1.884471117779445,5.744196102419248e+24,,0.0005545833423022639
1.8859714928732185,5.791400044591719e+24,,0.0007627120754672628
1.887471867966992,5.838764124491468e+24,,0.0018131452467086166
1.8889722430607654,5.886285941488532e+24,,0.0031126900573258684
1.8904726181545388,5.933963056832866e+24,,0.0032069292502065875
1.8919729932483123,5.981792993726157e+24,,0.004140430249290885
1.8934733683420857,6.02977323740167e+24,,0.004973611276753149
1.8949737434358591,6.077901235212177e+24,,0.0058199112278695285
1.8964741185296325,6.126174396726007e+24,,0.007882653782499827
1.897974493623406,6.174590093831272e+24,,0.010132572634686308
1.8994748687171794,6.223145660848262e+24,,0.00983570787553594
1.9009752438109528,6.27183839465017e+24,,0.012100804114762675
1.9024756189047263,6.320665554792017e+24,,0.01268181893936676
1.9039759939984997,6.369624363647924e+24,,0.012666501289084598
1.9054763690922731,6.418712006556765e+24,,0.013192063460694575
1.9069767441860466,6.467925631976145e+24,,0.012597369850043477
1.90847711927982,6.517262351644844e+24,,0.01358767770242729
1.9099774943735934,6.566719240753672e+24,,0.014715436458487743
1.9114778694673669,6.616293338124773e+24,,0.01354087089830194
1.9129782445611403,6.665981646399449e+24,,0.014564818849239079
1.9144786196549137,6.715781132234463e+24,,0.013084537878463075
1.9159789947486872,6.76568872650686e+24,,0.01214286967215698
1.917479369842461,6.815701324527366e+24,,0.011407053620630752
1.9189797449362345,6.865815786262255e+24,,0.00928102649657432
1.920480120030008,6.916028936563908e+24,,0.011127873186047129
1.921980495123781,6.966337565409835e+24,,0.009921679225963832
1.9234808702175545,7.016738428150305e+24,,0.006555399399166767
1.924981245311328,7.067228245764597e+24,,0.00597012515640103
1.9264816204051014,7.117803705125794e+24,,0.004814589268423893
1.9279819954988748,7.168461459274188e+24,,0.003946711288112887
1.9294823705926483,7.219198127699249e+24,,0.0034860273566429175
1.9309827456864217,7.270010296630213e+24,,0.0033118150441451503
1.9324831207801951,7.320894519335194e+24,,0.0022660930782773757
1.9339834958739686,7.371847316428884e+24,,0.0016139520398683355
1.935483870967742,7.422865176188793e+24,,0.0007808328546996265
1.9369842460615154,7.473944554880059e+24,,0.00029549353897056325
1.9384846211552889,7.525081877088722e+24,,0.00010745758113723649
1.9399849962490623,7.576273536063543e+24,,3.3718553527360264e-06
1.9414853713428357,7.627515894066266e+24,,0.00027114777933471304
1.9429857464366092,7.67880528273038e+24,,0.0001402308983011683
1.944486121530383,7.730138003428273e+24,,0.0003769693219189783
1.9459864966241565,7.781510327646742e+24,,0.0013590565558302585
1.94748687171793,7.83291849737101e+24,,0.0006846242989975095
1.948987246811703,7.884358725476913e+24,,0.0008317963700616586
1.9504876219054765,7.935827196131483e+24,,0.002182573111315914
1.95198799699925,7.987320065201754e+24,,0.003048544931425178
1.9534883720930234,8.03883346067178e+24,,0.004206968588204239
1.9549887471867968,8.090363483067827e+24,,0.004785184764822046
1.9564891222805703,8.141906205891705e+24,,0.0048282127671263496
1.9579894973743437,8.193457676062147e+24,,0.0051656511556787965
1.9594898724681171,8.245013914364218e+24,,0.005961602257920508
1.9609902475618906,8.296570915906704e+24,,0.006972252939985269
1.962490622655664,8.348124650587409e+24,,0.007359892576491157
1.9639909977494374,8.399671063566273e+24,,0.008530322940357993
1.9654913728432108,8.451206075746328e+24,,0.008724539704317526
1.9669917479369843,8.502725584262343e+24,,0.00976848453933323
1.9684921230307577,8.554225462977137e+24,,0.00823730531199743
1.9699924981245311,8.605701562985482e+24,,0.008275945957050673
1.971492873218305,8.657149713125533e+24,,0.007140283916790437
1.9729932483120785,8.708565720497641e+24,,0.007572533652679362
1.9744936234058517,8.759945370990633e+24,,0.006429309462703428
1.975993998499625,8.8112844298153e+24,,0.0044749284863980325
1.9774943735933985,8.862578642045099e+24,,0.005064126664834393
1.978994748687172,8.913823733163981e+24,,0.006216609668399771
1.9804951237809454,8.96501540962128e+24,,0.005048678122973652
1.9819954988747188,9.016149359393478e+24,,0.005722444942754219
1.9834958739684923,9.067221252552886e+24,,0.003829841031408871
1.9849962490622657,9.118226741843051e+24,,0.0036447093104565306
1.9864966241560391,9.16916146326082e+24,,0.003149241540510874
1.9879969992498125,9.220021036644981e+24,,0.0026320840201826696
1.989497374343586,9.270801066271343e+24,,0.0025513860451060193
1.9909977494373594,9.321497141454203e+24,,0.0012636819413490955
1.9924981245311328,9.372104837154023e+24,,0.0010101161732789445
1.9939984996249063,9.422619714591293e+24,,0.0009360915367828621
1.9954988747186797,9.473037321866385e+24,,0.00037581029347693185
1.9969992498124531,9.523353194585354e+24,,0.00018950163787122688
1.9984996249062266,9.57356285649153e+24,,2.04172351342052e-05
2.0000000000000004,9.623661820102823e+24,,8.953546199219109e-05
2.001500375093774,9.673645587354504e+24,,2.0128509324514e-05
2.0030007501875473,9.723509650247607e+24,,0.0005861391825522645
2.0045011252813207,9.773249491502454e+24,,0.0006770695184702268
2.006001500375094,9.822860585217532e+24,,0.000818898642262652
2.0075018754688676,9.872338397533334e+24,,0.0006252135882494939
2.009002250562641,9.921678387301212e+24,,0.0009257998862576325
2.0105026256564145,9.970876006756986e+24,,0.0012493033553064336
2.012003000750188,1.001992670219928e+25,,0.0020023238737343686
2.0135033758439613,1.006882591467231e+25,,0.00204407047785574
2.0150037509377343,1.0117569080653187e+25,,0.002977817196928077
2.0165041260315077,1.0166151632743372e+25,,0.002792884860860228
2.018004501125281,1.0214569000364312e+25,,0.0025222101612291585
2.0195048762190546,1.026281661045705e+25,,0.003295183629974826
2.021005251312828,1.0310889888185619e+25,,0.0029698382311075565
2.0225056264066015,1.0358784257644184e+25,,0.004017631432932315
2.024006001500375,1.0406495142567673e+25,,0.004227264221943183
2.0255063765941483,1.0454017967045795e+25,,0.005000256498559846
2.027006751687922,1.0501348156240347e+25,,0.004873232202629534
2.0285071267816956,1.0548481137105467e+25,,0.004461257318888474
2.030007501875469,1.0595412339111026e+25,,0.005564529840540192
2.0315078769692425,1.0642137194968569e+25,,0.005260335453142153
2.033008252063016,1.0688651141360004e+25,,0.005180606498316597
2.0345086271567894,1.0734949619668688e+25,,0.003734585685992082
2.036009002250563,1.0781028076712818e+25,,0.0041214817468895
2.0375093773443362,1.082688196548096e+25,,0.0037510360773285027
2.0390097524381097,1.087250674586952e+25,,0.00372833273747356
2.040510127531883,1.091789788542204e+25,,0.003240531445165956
2.0420105026256565,1.0963050860070105e+25,,0.0020529226510679834
2.04351087771943,1.1007961154875742e+25,,0.0019563176958841454
2.0450112528132034,1.1052624264775108e+25,,0.0018800293401422877
2.046511627906977,1.1097035695323302e+25,,0.0012670186335797342
2.0480120030007503,1.1141190963440156e+25,,0.0009070536715823944
2.0495123780945237,1.1185085598156802e+25,,0.0005676404323310668
2.051012753188297,1.1228715141362858e+25,,0.0006667130184155933
2.0525131282820706,1.127207514855407e+25,,0.00032707471767091413
2.0540135033758444,1.1315161189580223e+25,,0.00038501966225936595
